FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I0AGEY16MCE,I70701,I70701,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70702,I70702,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70703,I70703,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70708,I70708,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70709,I70709,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70711,I70711,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70712,I70712,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70713,I70713,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70718,I70718,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70719,I70719,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70721,I70721,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70722,I70722,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70723,I70723,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70728,I70728,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
